Opcode,Mnemonic,Operand(s),Flags affected,Number of bytes,Timing 386,Timing 486,Timing Pentium
0,add,"mem8,reg8","SF,ZF,OF,CF,PF,AF",2+,7,3,3
1,add,"mem16,reg16","SF,ZF,OF,CF,PF,AF",2+,7,3,3
 , ,"mem32,reg32", , , , , 
2,add,"reg8,reg8","SF,ZF,OF,CF,PF,AF",2,2,1,1
2,add,"reg8,mem8","SF,ZF,OF,CF,PF,AF",2+,6,2,2
3,add,"reg16,reg16","SF,ZF,OF,CF,PF,AF",2,2,1,1
 , ,"reg32,reg32", , , , , 
3,add,"reg16,mem16","SF,ZF,OF,CF,PF,AF",2+,6,2,2
 , ,"reg32,mem32", , , , , 
4,add,"AL,imm8","SF,ZF,OF,CF,PF,AF",2,2,1,1
5,add,"AX,imm16","SF,ZF,OF,CF,PF,AF",3,2,1,1
 , ,"EAX,imm32", ,5, , , 
6,push,ES,none,1,2,3,1
7,pop,ES,none,1,7,3,3
8,or,"mem8,reg8","SF,ZF,OF,CF,PF,AF",2+,7,3,3
9,or,"mem16,reg16","SF,ZF,OF,CF,PF,AF",2+,7,3,3
 , ,"mem32,reg32", , , , , 
0A,or,"reg8,reg8","SF,ZF,OF,CF,PF,AF",2,2,1,1
0A,or,"reg8,mem8","SF,ZF,OF,CF,PF,AF",2+,6,2,2
0B,or,"reg16,reg16","SF,ZF,OF,CF,PF,AF",2,2,1,1
 , ,"reg32,reg32", , , , , 
0B,or,"reg16,mem16","SF,ZF,OF,CF,PF,AF",2+,6,2,2
 , ,"reg32,mem32", , , , , 
0C,or,"AL,imm8","SF,ZF,OF,CF,PF,AF",2,2,1,1
0D,or,"AX,imm16","SF,ZF,OF,CF,PF,AF",3,2,1,1
 , ,"EAX,imm32", ,5, , , 
0E,push,CS,none,1,2,3,1
0F 04,shld,"reg16,reg16,imm8","SF,ZF,CF,PF",4,3,2,4
 , ,"reg32,reg32,imm8","OF,AF ?", , , , 
0F 04,shld,"mem16,reg16,imm8","SF,ZF,CF,PF",4+,7,4,4
 , ,"mem32,reg32,imm8","OF,AF ?", , , , 
0F 05,shld,"reg16,reg16,CL","SF,ZF,CF,PF",3,3,3,4
 , ,"reg32,reg32,CL","OF,AF ?", , , , 
0F 05,shld,"mem16,reg16,CL","SF,ZF,CF,PF",3+,7,4,5
 , ,"mem32,reg32,CL","OF,AF ?", , , , 
0F 80,jo,rel32,none,"7+,3","3,1",1,6
0F 81,jno,rel32,none,"7+,3","3,1",1,6
0F 82,jb,rel32,none,"7+,3","3,1",1,6
 ,jnae, , , , , , 
0F 82,jc,rel32,none,"7+,3","3,1",1,6
0F 83,jae,rel32,none,"7+,3","3,1",1,6
 ,jnb, , , , , , 
0F 83,jnc,rel32,none,"7+,3","3,1",1,6
0F 84,je,rel32,none,"7+,3","3,1",1,6
